language,journal_or_venue,count
cn,"中国管理科学",30
cn,"系统工程理论与实践",26
cn,"统计研究",24
cn,"金融研究",10
cn,"管理世界",5
cn,"软件学报",5
en,"Journal of Machine Learning Research",34
en,"Journal of Econometrics",22
en,"Journal of the American Statistical Association",16
en,"The Journal of Finance",5
en,"Journal of Financial Economics",4
en,"Quantitative Finance",4
en,"Biometrika",3
en,"The Review of Financial Studies",3
en,"arXiv preprint",2
en,"IEEE Symposium on Security and Privacy",1
en,"International Conference on Machine Learning",1
en,"Journal of the Royal Statistical Society Series B",1
en,"Management Science",1
en,"Nature",1
en,"SIAM Journal on Optimization",1
en,"The Annals of Statistics",1
